timesteps,env_idx,episode_reward,episode_length
4,2,-20.0,1
16,0,-16.844285,4
20,0,-20.0,1
20,1,-15.690428,5
32,0,-17.137367,3
40,1,-15.812146,5
48,2,-10.682494,11
48,3,-7.334301,12
60,1,-16.716192,5
64,2,-17.682277,4
68,1,-18.640991,2
80,0,-8.569377,12
84,2,-16.463332,5
88,1,-16.414217,5
92,3,-9.564664,11
100,0,-16.425742,5
104,1,-16.861854,4
104,2,-16.749732,5
116,0,-17.157402,4
120,2,-17.522885,4
136,0,-16.557492,5
136,1,-12.607484,8
140,3,-9.830349,12
144,2,-15.358577,6
152,1,-17.835095,4
156,0,-16.142097,5
160,2,-16.269877,4
160,3,-15.683181,5
172,1,-16.875737,5
180,0,-14.639421,6
184,0,-20.0,1
188,3,-13.112862,7
192,1,-15.706516,5
192,2,-11.949776,8
196,0,-17.972178,3
196,1,-20.0,1
200,1,-20.0,1
216,0,-14.885358,5
216,3,-13.030374,7
220,2,-13.547647,7
232,3,-17.772759,4
240,0,-15.538767,6
240,1,-9.273068,10
248,3,-17.686785,4
264,1,-14.756305,6
268,2,-10.201197,12
268,3,-15.815558,5
284,2,-17.512006,4
288,3,-16.047584,5
292,0,-6.763028,13
300,1,-12.063067,9
300,2,-17.763733,4
304,0,-18.040876,3
304,3,-17.578468,4
316,1,-17.285522,4
316,3,-17.88791,3
320,1,-20.0,1
328,2,-14.883473,7
332,1,-18.076252,3
336,0,-12.734885,8
336,1,-20.0,1
340,0,-20.0,1
344,2,-17.003817,4
352,3,-10.926353,9
360,1,-15.760632,6
368,0,-12.933938,7
372,2,-14.346421,7
376,3,-15.203252,6
388,1,-13.372293,7
388,2,-17.069579,4
408,1,-16.775508,5
408,2,-15.3331,5
412,0,-7.696285,11
416,3,-10.189463,10
424,1,-17.167443,4
428,2,-15.669702,5
432,3,-17.384518,4
436,0,-15.509437,6
436,1,-18.121384,3
444,0,-18.65892,2
444,2,-17.388702,4
448,0,-20.0,1
456,1,-16.772272,5
468,0,-16.107182,5
472,2,-15.065339,7
476,1,-16.939629,5
480,3,-9.321629,12
488,2,-17.672203,4
488,3,-18.5376,2
492,1,-17.062187,4
496,1,-20.0,1
508,2,-16.242367,5
520,3,-13.283419,8
524,1,-13.238962,7
524,2,-17.184802,4
528,2,-20.0,1
532,2,-20.0,1
548,3,-12.856814,7
552,0,-1.754169,21
552,1,-14.273042,7
556,1,-20.0,1
564,2,-11.674831,8
568,2,-20.0,1
572,0,-16.560626,5
580,2,-17.968686,3
580,3,-12.282458,8
584,3,-20.0,1
588,1,-13.014205,8
592,0,-16.151201,5
596,2,-16.096227,4
596,3,-17.970887,3
612,0,-15.809475,5
612,3,-16.955137,4
620,1,-12.361837,8
624,3,-18.085496,3
632,0,-15.449191,5
632,3,-18.711019,2
636,0,-20.0,1
636,1,-17.550515,4
652,1,-17.453088,4
652,2,-5.123214,14
660,0,-15.592919,6
660,3,-13.314481,7
668,1,-17.626042,4
668,2,-17.39315,4
676,3,-16.889595,4
684,1,-17.657645,4
688,0,-13.473309,7
688,2,-15.070843,5
692,3,-17.187682,4
696,3,-20.0,1
704,0,-17.277606,4
704,2,-17.365472,4
708,1,-14.934851,6
720,2,-17.487369,4
724,1,-16.980401,4
728,2,-18.75761,2
728,3,-13.728882,8
732,3,-20.0,1
736,0,-12.639314,8
740,1,-17.386863,4
744,1,-20.0,1
744,2,-17.462199,4
752,0,-17.744294,4
760,3,-13.171255,7
764,1,-15.906206,5
768,0,-16.963692,4
768,2,-14.160899,6
780,3,-16.253826,5
784,0,-17.171011,4
784,1,-15.423045,5
784,2,-17.272148,4
808,2,-14.839481,6
808,3,-14.427219,7
816,0,-11.6174,8
816,1,-12.066736,8
828,3,-15.003345,5
832,2,-14.314804,6
836,1,-15.250373,5
836,2,-20.0,1
844,0,-14.491829,7
844,1,-18.54563,2
848,3,-15.60561,5
852,2,-17.060779,4
856,3,-18.608944,2
860,1,-15.854881,4
864,0,-15.63468,5
872,2,-15.156854,5
884,1,-13.200337,6
888,3,-13.152844,8
896,2,-15.126929,6
904,1,-16.735949,5
908,0,-8.754046,11
908,1,-20.0,1
912,3,-13.911493,6
924,0,-17.755181,4
924,2,-14.519806,7
932,1,-15.16991,6
944,3,-12.058634,8
952,0,-14.034568,7
952,1,-16.128802,5
952,2,-13.048351,7
956,2,-20.0,1
964,0,-18.119355,3
968,1,-16.553697,4
972,3,-13.488394,7
984,1,-17.377569,4
984,2,-13.560446,7
988,0,-15.602921,6
988,3,-17.402947,4
992,0,-20.0,1
1000,2,-16.845111,4
1008,3,-16.111826,5
1012,0,-15.823494,5
1024,1,-10.294685,10
1032,0,-16.20481,5
1044,1,-16.270006,5
1044,2,-9.114878,11
1044,3,-11.294606,9
1052,0,-16.272137,5
1060,2,-17.065668,4
1060,3,-16.858425,4
1068,1,-14.745784,6
1080,2,-16.491712,5
1084,0,-12.851086,8
1092,0,-18.687844,2
1092,2,-17.838274,3
1096,3,-11.386025,9
1100,1,-11.423487,8
1108,0,-17.596291,4
1108,2,-16.813704,4
1124,0,-17.224004,4
1128,2,-16.155951,5
1132,1,-11.965515,8
1132,2,-20.0,1
1148,1,-17.457543,4
1148,2,-16.74028,4
1148,3,-8.148652,13
1160,0,-13.765343,9
1164,2,-16.821106,4
1180,0,-16.701416,5
1184,2,-16.32889,5
1184,3,-9.920425,9
1208,3,-15.04664,6
1216,1,-5.245402,17
1224,3,-17.459838,4
1240,0,-4.948988,15
1240,1,-15.093668,6
1264,3,-9.974629,10
1276,1,-13.802189,9
1292,0,-8.298844,13
1300,1,-15.301011,6
1300,3,-10.634824,9
1304,2,11.21631,30
1312,0,-16.311496,5
1336,1,-11.334247,9
1348,0,-12.600869,9
1352,2,-6.624583,12
1356,1,-16.926796,5
1360,1,-20.0,1
1364,2,-18.128329,3
1368,1,-18.612341,2
1384,2,-15.4719,5
1384,3,-0.685854,21
1388,0,-10.691306,10
1392,1,-13.963302,6
1412,1,-15.100552,5
1416,2,-13.063925,8
1420,1,-18.718562,2
1424,0,-10.124207,9
1448,2,-12.560837,8
1452,3,-5.882378,17
1456,3,-20.0,1
1460,0,-12.555652,9
1468,1,-9.344669,12
1500,0,-12.5196,10
1516,0,-17.658185,4
1520,1,-6.98896,13
1524,3,-5.221543,17
1528,2,0.485311,20
1544,1,-13.893785,6
1544,2,-17.544505,4
1560,0,-8.754841,11
1564,3,-11.823509,10
1576,2,-13.121186,8
1592,1,-7.102741,12
1604,2,-13.990072,7
1616,0,-7.630849,14
1616,3,-8.938685,13
1624,2,-15.979318,5
1644,1,-6.893515,13
1644,3,-14.385964,7
1664,1,-16.656366,5
1672,0,-7.416924,14
1672,2,-8.595553,12
1692,1,-15.445642,7
1696,2,-15.443904,6
1724,0,-7.360808,13
1728,3,-0.123599,21
1732,1,-11.357849,10
1736,2,-12.266332,10
1744,3,-16.818812,4
1752,1,-15.486793,5
1760,0,-13.376165,9
1764,2,-12.874796,7
1772,3,-12.020891,7
1784,0,-14.831479,6
1784,1,-11.999914,8
1800,1,-17.154896,4
1816,2,-6.410006,13
1836,3,-1.030431,16
1848,1,-8.66939,12
1868,3,-13.042693,8
1888,2,-2.195766,18
1908,1,-6.695714,15
1932,1,-14.776565,6
1932,2,-8.858947,11
1964,0,29.925425,45
1976,0,-17.59427,3
1984,0,-18.74771,2
1992,2,-6.027118,15
1996,2,-20.0,1
