#{"t_start": 1767570504.737487, "env_id": "None"}
r,l,t
-13.685577,7,0.574154
-2.358514,16,0.767858-11.823836,8,0.845924
-7.754646,15,1.196183
-17.342366,4,1.268315
-11.934606,8,1.420786
-14.011612,7,1.557093
-6.884437,17,1.859895
-12.742023,8,2.002182
-11.714588,9,2.184691
-15.569766,5,2.281634
-16.011235,5,2.384525
-16.233741,5,2.476181
-13.244176,7,2.602206
-17.179119,4,2.681273
-13.803811,7,2.80326
-17.645556,4,2.883348
-17.078347,4,2.957508
-13.575624,8,3.123552
--11.886612,8,3.219989-1.157459,21,3.573887
-12.37996,8,3.72027
-13.851432,7,3.849985
45.020192,64,5.04952
-17.500725,4,5.134748
-8.799011,14,5.400345
-1.427003,21,5.761024
-9.305878,11,5.948129
-12.536739,9,6.109009
-9.461681,12,6.336821
-6.147885,15,6.60118
32.38746,60,7.665326
35.452274,54,8.575304
-11.631435,10,8.744108
-13.638171,8,8.883926
-14.734026,9,9.040138
-7.651181,15,9.306245
120.295783,101,11.110547
-5.514596,15,11.379178
4.411517,23,11.776774
25.764713,40,12.483476
-4.20961,14,12.740158
19.672657,33,13.32406
7.124135.553778,101,14.656393
12.470213,26,15124.536189,101,16.180538
129.764003,101,17.953536
132.927071,101,19.692657
129.485811,101,21.405428
133.635776,101,23.076987
132.976513,101,24.77945
128.07244,101,26.562288
14.571655,27,27.025131
16.766312,30,27.653756
57.060629,62,28.733436
128.919542,101,30.534913
89.150358,93,32.158932
82.204105,85,33.623218
56.573168,62,34.690353
75.829041,77,36.028513
134.646603,101,37.790513
130.059993,101,39.605762
134.430479,101,41.396663
40.131356,52,42.32996
128.066868,101,44.017574
36.195281,51,44.920203
133.927302,101,46.670252
133.566889,101,48.501749
129.21849,101,50.3382
134.064124,101,52.04174
87.784986,86,53.52368
135.204626,101,55.295545
129.53124,101,57.011838
132.605864,101,58.714667
134.412428,101,60.457523
137.303028,101,62.231496
138.063679,101,63.944427
137.230525,101,65.693145
135.669606,101,67.444887
134.275123,101,69.202869
135.166858,101,70.9818
139.927367,101,72.736992
133.883769,101,74.619634
135.781384,101,76.382756
138.35203,101,78.08882
136.158002,101,79.850542
138.405107,101,81.66642
130.495152,101,83.460399
138.590091,101,85.216464
136.130058,101,87.036008
136.525226,101,88.838952
138.510861,101,90.627868
137.369319,101,92.344743
138.521816,101,94.17126
134.229696,101,95.927925
135.821244,101,97.658713
137.23968,101,99.378832
130.273557,101,101.138319
133.807002,101,102.933244
137.894909,101,104.784498
137.18942,101,106.566463
132.430661,101,108.361519
134.409423,101,110.207733
134.430456,101,111.949908
135.828447,101,113.672184
134.964187,101,115.429617
140.097502,101,117.228602
134.053349,101,118.981701
138.183949,101,120.834181
134.80304,101,122.617657
137.711906,101,124.403914
137.005215,101,126.212447
137.755483,101,128.01389
135.016179,101,129.78493
136.123054,101,131.545285
136.066785,101,133.300376
140.516906,101,135.102164
136.475274,101,136.906181
137.427953,101,138.793642
133.088446,101,140.580876
127.686215,101,142.329215
139.526726,101,144.194878
137.141583,101,146.067373
133.837365,101,147.817021
138.867277,101,149.51885
137.008826,101,151.295867
135.927038,101,153.067306
131.447627,101,154.821581
138.231895,101,156.521221
136.639338,101,158.249231
136.633705,101,159.998657
132.543027,101,161.828177
137.443161,101,163.705063
136.905609,101,165.482485
135.378005,101,167.24164
139.073529,101,168.974934
135.914402,101,170.744442
135.519083,101,172.502765
133.319502,101,174.278003
132.499563,101,176.134465
136.193747,101,177.99634
129.329726,101,179.757376
133.647145,101,181.543762
136.021753,101,183.328465
133.17902,101,185.118598
134.663993,101,186.935895
131.635887,101,188.747205
133.031003,101,190.505177
136.835113,101,192.372765
134.407846,101,194.156965
131.280838,101,195.867549
136.064504,101,197.697663
134.928773,101,199.499262
128.297224,101,201.309513
132.705088,101,203.211067
135.522394,101,205.034042
129.934706,101,206.732378
136.700543,101,208.565928
135.803703,101,210.380777
137.40656,101,212.145475
137.059561,101,213.919319
136.172935,101,215.690988
134.867485,101,217.462294
138.654842,101,219.274204
23,101,218.064359
134.301237,101,219.860818
08
130.755322,101,214.945572
135.648813,101,216.632247
138.908595,101,218.463745
135.937307,101,220.242158
485
132.757145,101,219.757165
