timesteps,env_idx,episode_reward,episode_length
8916,0,130.059993,101
9004,1,105.584296,95
9008,2,133.054038,101
9020,3,125.951279,101
9320,0,134.430479,101
9408,1,116.23962,101
9412,2,131.583568,101
9424,3,133.483143,101
9528,0,40.131356,52
9672,1,61.220484,66
9784,3,92.34005,90
9816,2,133.946359,101
9932,0,128.066868,101
10076,1,126.897334,101
10136,0,36.195281,51
10188,3,135.674153,101
10220,2,132.419327,101
10480,1,129.410879,101
10540,0,133.927302,101
10592,3,129.840619,101
10624,2,129.418046,101
10784,1,69.302188,76
10944,0,133.566889,101
10960,2,80.427659,84
10996,3,132.266377,101
11020,1,49.08535,59
11348,0,129.21849,101
11364,2,135.634495,101
11400,3,124.328387,101
11424,1,130.636425,101
11592,2,53.176048,57
11752,0,134.064124,101
11804,3,135.0066,101
11828,1,129.791106,101
11852,2,64.902363,65
12096,0,87.784986,86
12208,3,123.059606,101
12232,1,135.789348,101
12256,2,134.454,101
12500,0,135.204626,101
12612,3,134.556282,101
12636,1,136.57924,101
12660,2,135.47502,101
12904,0,129.53124,101
13016,3,128.331619,101
13040,1,137.603094,101
13064,2,122.808717,101
13308,0,132.605864,101
13420,3,138.415517,101
13444,1,138.50486,101
13468,2,133.604104,101
13712,0,134.412428,101
13824,3,136.644404,101
13848,1,138.092325,101
13872,2,137.843162,101
14116,0,137.303028,101
14228,3,128.845575,101
14252,1,132.825789,101
14276,2,133.224092,101
14520,0,138.063679,101
14632,3,128.092641,101
14656,1,134.675668,101
14680,2,136.010785,101
14924,0,137.230525,101
15036,3,131.886063,101
15060,1,132.421675,101
15084,2,134.993257,101
15328,0,135.669606,101
15440,3,136.183334,101
15464,1,139.765015,101
15488,2,136.662485,101
15732,0,134.275123,101
15844,3,132.804495,101
15868,1,134.141259,101
15892,2,108.388139,101
16136,0,135.166858,101
16248,3,134.316421,101
16272,1,138.321216,101
16296,2,134.974474,101
16540,0,139.927367,101
16652,3,133.906905,101
16676,1,138.530536,101
16700,2,136.887595,101
16944,0,133.883769,101
17056,3,135.462252,101
17080,1,137.328013,101
17104,2,138.212677,101
17348,0,135.781384,101
17460,3,135.321068,101
17484,1,138.504558,101
17508,2,135.421355,101
17752,0,138.35203,101
17864,3,133.598842,101
17888,1,138.092405,101
17912,2,138.515792,101
18156,0,136.158002,101
18268,3,133.079771,101
18292,1,136.973573,101
18316,2,131.819958,101
18560,0,138.405107,101
18672,3,136.91451,101
18696,1,138.371815,101
18720,2,134.448575,101
18964,0,130.495152,101
19076,3,135.669403,101
19100,1,137.698914,101
19124,2,136.900993,101
19368,0,138.590091,101
19480,3,135.633599,101
19504,1,138.379073,101
19528,2,133.699482,101
19772,0,136.130058,101
19884,3,136.39597,101
19908,1,132.337122,101
19932,2,137.512192,101
20176,0,136.525226,101
20288,3,132.287993,101
20312,1,140.76536,101
20336,2,137.35584,101
20580,0,138.510861,101
20692,3,137.435752,101
20716,1,138.019795,101
20740,2,135.685289,101
20984,0,137.369319,101
21096,3,136.45171,101
21120,1,137.340757,101
21144,2,137.140472,101
21388,0,138.521816,101
21500,3,136.617444,101
21524,1,137.78624,101
21548,2,140.743936,101
21792,0,134.229696,101
21904,3,138.927113,101
21928,1,140.733459,101
21952,2,137.03868,101
22196,0,135.821244,101
22308,3,138.44323,101
22332,1,139.002431,101
22356,2,134.62312,101
22600,0,137.23968,101
22712,3,136.836394,101
22736,1,136.795788,101
22760,2,137.205465,101
23004,0,130.273557,101
23116,3,136.025154,101
23140,1,136.646178,101
23164,2,138.460253,101
23408,0,133.807002,101
23520,3,134.552619,101
23544,1,135.30313,101
23568,2,134.581582,101
23812,0,137.894909,101
23924,3,134.369396,101
23948,1,134.952837,101
23972,2,138.013051,101
24216,0,137.18942,101
24328,3,135.227629,101
24352,1,134.82178,101
24376,2,136.784928,101
24620,0,132.430661,101
24732,3,132.882868,101
24756,1,138.862619,101
24780,2,135.625125,101
25024,0,134.409423,101
25136,3,137.033434,101
25160,1,135.598384,101
25184,2,133.058314,101
25428,0,134.430456,101
25540,3,134.842125,101
25564,1,136.508369,101
25588,2,135.710744,101
25832,0,135.828447,101
25944,3,134.300191,101
25968,1,132.198698,101
25992,2,134.769371,101
26236,0,134.964187,101
26348,3,133.538922,101
26372,1,132.986956,101
26396,2,135.257665,101
26640,0,140.097502,101
26752,3,136.631208,101
26776,1,138.007552,101
26800,2,137.941427,101
27044,0,134.053349,101
27156,3,139.541581,101
27180,1,138.283813,101
27204,2,137.654872,101
27448,0,138.183949,101
27560,3,134.632309,101
27584,1,137.243157,101
27608,2,135.602147,101
27852,0,134.80304,101
27964,3,136.408998,101
27988,1,137.285466,101
28012,2,138.387571,101
28256,0,137.711906,101
28368,3,138.149391,101
28392,1,137.575534,101
28416,2,140.308391,101
28660,0,137.005215,101
28772,3,135.701008,101
28796,1,136.397549,101
28820,2,133.362675,101
