timesteps,env_idx,episode_reward,episode_length
4,1,-20.0,1
20,1,-17.213352,4
20,3,-15.765086,5
36,0,-11.103973,9
36,1,-17.039671,4
36,3,-17.744941,4
40,1,-20.0,1
40,2,-11.502429,10
40,3,-20.0,1
44,1,-20.0,1
44,2,-20.0,1
48,1,-20.0,1
48,2,-20.0,1
52,1,-20.0,1
60,0,-15.069889,6
72,1,-16.448868,5
72,2,-14.858946,6
76,1,-20.0,1
76,3,-11.04305,9
100,1,-15.109599,6
116,1,-17.317214,4
124,3,-8.929784,12
132,2,-2.976213,15
140,1,-14.25758,6
148,0,3.525325,22
160,1,-16.463135,5
164,0,-17.241416,4
172,2,-11.516174,10
172,3,-9.592185,12
180,1,-16.201395,5
188,0,-14.590341,6
188,3,-17.059266,4
192,0,-20.0,1
196,1,-17.321823,4
200,2,-13.745277,7
204,2,-20.0,1
208,2,-20.0,1
216,1,-16.673125,5
220,0,-14.307873,7
236,1,-15.253698,5
240,0,-16.446391,5
244,0,-20.0,1
244,3,-5.652267,14
260,1,-14.618731,6
260,2,-5.6078,13
264,2,-20.0,1
280,0,-10.795028,9
280,1,-15.894691,5
280,3,-11.328911,9
284,0,-20.0,1
288,2,-14.977372,6
292,2,-20.0,1
296,1,-17.308972,4
308,2,-17.460478,4
316,3,-11.045688,9
320,0,-11.924671,9
320,2,-17.95035,3
324,1,-13.875086,7
336,2,-17.741565,4
336,3,-15.543468,5
340,0,-16.183339,5
344,0,-20.0,1
344,1,-15.523597,5
348,0,-20.0,1
348,2,-17.405926,3
352,3,-17.603954,4
360,1,-17.650795,4
360,2,-17.616416,3
368,0,-16.120861,5
372,3,-16.300305,5
376,1,-17.58243,4
380,2,-16.390909,5
384,0,-16.717069,4
388,0,-20.0,1
388,3,-17.368372,4
396,1,-15.609377,5
396,2,-17.285099,4
400,3,-17.965164,3
404,0,-17.490685,4
404,3,-20.0,1
408,3,-20.0,1
416,1,-16.687287,5
416,2,-16.878288,5
424,0,-16.552654,5
428,0,-20.0,1
428,3,-16.978016,5
432,3,-20.0,1
444,0,-17.498557,4
456,0,-18.13078,3
460,0,-20.0,1
464,3,-12.685037,8
472,1,-8.759166,14
488,1,-17.296478,4
488,3,-15.524578,6
500,1,-17.980917,3
504,2,5.109336,22
504,3,-17.276255,4
516,2,-18.05293,3
520,0,-5.074072,15
520,2,-20.0,1
524,0,-20.0,1
528,1,-13.099591,7
528,3,-15.383379,6
532,1,-20.0,1
532,2,-17.948427,3
532,3,-20.0,1
536,3,-20.0,1
540,3,-20.0,1
544,3,-20.0,1
548,1,-17.742669,4
552,0,-13.486442,7
552,1,-20.0,1
556,0,-20.0,1
568,2,-12.338793,9
572,0,-16.165,4
576,0,-20.0,1
576,3,-11.900355,8
592,0,-17.400256,4
592,3,-17.410012,4
596,0,-20.0,1
596,2,-14.006016,7
596,3,-20.0,1
600,3,-20.0,1
604,1,-9.022715,13
612,3,-17.97942,3
616,0,-16.365941,5
616,3,-20.0,1
620,2,-14.923827,6
636,1,-12.591287,8
636,2,-17.002958,4
640,2,-20.0,1
644,0,-14.782428,7
648,0,-20.0,1
652,0,-20.0,1
656,0,-20.0,1
656,1,-15.311355,5
660,0,-20.0,1
668,1,-17.874728,3
668,3,-8.77125,13
676,0,-17.355569,4
680,2,-11.328957,10
692,1,-15.16879,6
692,3,-14.703678,6
696,1,-20.0,1
708,2,-14.325603,7
712,0,-12.24492,9
716,3,-14.387339,6
720,1,-15.632751,6
724,2,-17.500501,4
740,3,-15.034336,6
744,2,-16.68912,5
760,0,-7.849723,12
760,1,-12.701729,10
760,3,-16.314498,5
768,2,-15.27452,6
776,0,-17.414335,4
780,1,-16.647898,5
784,1,-20.0,1
784,2,-17.327838,4
784,3,-14.294723,6
788,2,-20.0,1
792,2,-20.0,1
796,2,-20.0,1
808,3,-15.318786,6
812,0,-13.336615,9
812,1,-13.618462,7
816,2,-15.59194,5
820,2,-20.0,1
824,2,-20.0,1
836,1,-14.700879,6
836,3,-14.180896,7
840,1,-20.0,1
844,2,-16.341642,5
848,0,-14.369389,9
860,2,-17.594141,4
864,3,-14.866827,7
872,0,-14.426745,6
876,1,-12.955852,9
884,2,-14.785607,6
888,3,-15.456307,6
892,1,-17.182928,4
896,0,-14.648952,6
904,3,-17.692101,4
908,1,-17.395529,4
912,1,-20.0,1
924,0,-13.537088,7
928,1,-17.842015,4
928,3,-14.029389,6
944,0,-16.76129,5
948,0,-20.0,1
