#{"t_start": 1767541112.093963, "env_id": "None"}
r,l,t
14.243225,28,87.719409
15.086784,28,88.251708
-20.0,1,88.272757
-20.0,1,88.293327
-20.0,1,88.315053
-8.756501,10,88.509179
8.014607,22,88.975587
-8.842666,10,89.160992
-20.0,1,89.181384
-20.0,1,89.201798
-10.403831,8,89.349168
15.226258,28,89.875736
31.196744,42,90.575545
19.914766,33,91.194672
130.938571,101,93.008349
-20.0,1,93.032033
-20.0,1,93.056771
52.750654,57,94.13239
-20.0,1,94.155504
-6.722484,11,94.364315
87.655718,90,96.01922
-20.0,1,96.038877
-20.0,1,96.058931
-20.0,1,96.07911
-20.0,1,96.099141
-8.120273,10,96.278347
5.014439,20,96.649086
-14.910503,5,96.74337
12.767773,26,97.249947
-20.0,1,97.270493
1.772137,19,97.639042
-13.682159,6,97.751418
50.906181,56,98.762626
-20.0,1,98.783282
-20.0,1,98.80312
6.565596,21,99.184988
-20.0,1,99.204469
20.485207,32,99.811622
33.882537,43,100.597511
17.499397,31,101.17263
131.111993,101,102.932364
22.591041,33,103.508564
-5.25575,13,103.752423
9.1713,23,104.189003
-20.0,1,104.210016
-20.0,1,104.230905
-20.0,1,104.251817
-11.089715,8,104.419115
-20.0,1,104.440725
-4.13939,13,133.730078,4-6.60565,12,165.784028,69,106.147424
-13.419347,6,106.268706
-10.738226,8,106.428511
62.162036,69,107.749917
-20.0,1,107.769427
66.916217,66,109.015945
2.17507,18,109.346644
-20.0,1,109.366018
-17.653924,3,109.42063
-15.715486,4,109.492154
36.161818,42,110.241649
45.679842,51,111.284827
-20.0,1,111.305671
47.85359,55,112.354974
13.20025,28,112.900281
-20.0,1,112.922154
-7.173225,12,113.148052
7.965976,22,113.563935
3.474539,19,113.935528
40.905617,47,114.776631
21.572895,34,115.422797
39.580926,46,116.284049
-1.740714,15,116.563066
29.22351,39,117.307353
56.800202,58,118.396775
59.412703,61,119.548919
-3.38985,14,119.830865
-20.0,1,119.85822
-20.0,1,119.881241
-2.036539,15,120.180577
-10.736624,8,120.328091
-15.828089,4,120.399546
19.021013,34,121.01139
