#{"t_start": 1767541112.093963, "env_id": "None"}
r,l,t
-15.929719,4,491.808956
45.518017,51,493.045735
13.172046,26,493.537728
14.765488,28,494.065837
85.080681,81,495.629884
-20.0,1,495.651116
-13.342502,6,495.764924
10.317961,24,496.23824
-20.0,1,496.2585
65.696382,69,497.508456
-20.0,1,497.528584
-20.0,1,497.548539
-2.618364,14,497.819977
23.251527,34,498.462914
-20.0,1,498.483865
-2.174482,15,498.795379
14.864837,27,499.319767
0.10318,16,499.613488
65.572348,67,500.894251
-12.933165,6,501.120414
-20.0,1,501.179206
-4.009204,13,501.424484
-9.439074,9,501.592955
37.785531,46,502.482769
-20.0,1,502.503832
11.590017,24,502.961077
-6.966718,10,503.143865
59.174801,61,504.30424
-5.212146,12,504.524525
-20.0,1,504.54469
-1.935797,15,504.836885
14.859456,27,505.331596
22.282177,32,505.886096
-20.0,1,505.906857
-20.0,1,505.927688
3.246041,18,506.33119
-20.0,1,506.357334
10.892273,24,506.772469
93.715532,92,508.655616
27.611491,39,509.371241
-20.0,1,509.392024
-20.0,1,509.415334
66.950518,68,510.644861
3.952674,19,510.990015
-20.0,1,511.00982
68.732197,68,512.324107
14.450091,29,512.854877
81.108786,78,514.296479
-20.0,1,514.315757
16.697438,28,514.804315
-20.0,1,514.831942
75.54857,73,516.133111
-20.0,1,516.152599
57.998565,59,517.262641
59.002372,60,518.378167
-20.0,1,518.398797
-20.0,1,518.419228
-20.0,1,518.440299
28.349772,38,519.150576
-5.92725,11,519.361961
-20.0,1,519.381925
15.402268,27,519.871747
-13.30926,6,519.976434
0.452267,16,520.246555
16.886056,33,520.829626
-12.914932,6,520.941813
46.566104,51,521.866855
15.163675,26,522.350219
-20.0,1,522.37236
25.842556,35,523.120333
-0.518139,16,523.40534
-10.832604,9,523.566556
-20.0,1,523.585937
11.409089,24,524.036656
11.081693,23,524.468619
11.461748,25,524.951016
-20.0,1,524.972753
10.392499,23,525.403166
-20.0,1,525.423922
-20.0,1,525.446562
-5.48306,16,525.737299
-9.803469,10,525.931541
-10.11874,9,526.089847
48.383241,50,526.965043
15.702877,29,527.488705
-20.0,1,527.509061
51.357448,54,528.561058
-0.84608,15,528.865373
-4.085971,13,529.114479
38.48834,46,529.990907
2.108637,17,530.314536
27.081246,37,531.022968
-20.0,1,531.043141
-20.0,1,531.063493
2.224613,18,531.388069
5.51676,21,531.779476
-20.0,1,531.801565
-20.0,1,531.829077
0.388177,16,532.133985
-20.0,1,532.155542
-20.0,1,532.17628
-20.0,1,532.196502
-11.785784,7,532.330504
9.70681,24,532.773717
-20.0,1,532.80048
-20.0,1,532.833742
-20.0,1,532.85953
17.220365,28,533.398802
-20.0,1,533.41961
135.45823,101,535.303283
44.498081,50,536.219384
-20.0,1,536.239619
-20.0,1,536.26215
85.040389,77,537.741271
-20.0,1,537.761549
2.091938,18,538.094476
39.893623,46,538.938907
-0.296171,15,539.21979
-20.0,1,539.239937
25.631462,35,539.929249
8.992264,23,540.348465
24.566495,34,541.002006
-9.283796,9,541.160548
-20.0,1,541.18059
-20.0,1,541.20018
50.916685,55,542.215755
50.420265,51,543.128947
78.26558,74,544.494167
0.842179,17,544.808922
-12.912983,6,544.934741
31.391511,40,545.680071
22.903449,34,546.310471
-20.0,1,546.330787
18.929252,30,547.003253
5.397503,20,547.362198
16.879477,28,547.879357
6.9785,22,548.293851
-20.0,1,548.314494
-20.0,1,548.335144
-20.0,1,548.355268
-20.0,1,548.376146
-20.0,1,548.398738
-20.0,1,548.421552
-8.88447,9,548.589317
48.561959,54,549.573711
107.31368,95,551.416907
37.747881,44,552.382843
-0.629364,15,552.666576
18.506872,30,553.316599
-14.709244,5,553.416871
-20.0,1,553.439803
2.951802,18,553.778838
-14.440627,5,553.882793
0.877406,16,554.180894
-4.810444,12,554.394736
0.368777,17,554.694971
-18.634932,2,554.731767
29.866221,37,555.462649
4.928067,20,555.845305
9.996564,23,556.265001
-20.0,1,556.287925
-20.0,1,556.30824
-2.552623,14,556.576689
-20.0,1,556.599914
-7.846916,10,556.789367
29.483033,38,557.533689
137.491598,101,559.3371
-20.0,1,559.356684
-20.0,1,559.376231
3.901243,19,559.723865
19.706405,30,560.268992
-20.0,1,560.290292
-20.0,1,560.311658
65.353195,64,561.430839
8.202601,22,561.85067
5.421572,20,562.267807
8.449764,22,562.691107
10.665873,23,563.140746
-20.0,1,563.160536
18.648581,32,563.764448
-20.0,1,563.786115
3.312327,18,564.127097
-20.0,1,564.147651
60.420898,61,565.292648
135.084652,101,567.142377
10.207869,24,567.559515
15.260026,27,568.083534
-20.0,1,568.104745
-20.0,1,568.125711
54.845539,56,569.139135
52.47855,53,570.097722
-13.136881,6,570.216337
44.793426,48,571.152438
137.663864,101,573.017243
-20.0,1,573.03744
11.529677,25,573.490971
-0.580359,15,573.752283
9.587335,24,574.187785
63.061589,62,575.311947
136.470882,101,577.15946
-20.0,1,577.17938
47.237401,50,578.066795
40.072644,45,578.895285
4.002936,18,579.224388
16.359002,27,579.701183
10.77491,25,580.168798
-12.950748,6,580.280215
16.687595,29,580.806286
30.082072,39,581.516066
9.147809,23,581.95415
18.17832,29,582.494149
137.895291,101,584.311936
47.725463,50,585.19916
41.87652,46,586.028944
-20.0,1,586.04924
86.492687,79,587.513034
-20.0,1,587.534796
-5.171617,12,587.754286
-1.658278,14,588.043737
28.205266,36,588.726871
-2.48468,15,589.020151
19.953669,30,589.564115
1.395994,16,589.85762
44.937392,49,590.748677
24.955057,34,591.350535
69.551558,69,592.681978
-10.361472,8,592.828934
134.175444,101,594.614838
141.006301,101,596.473931
-15.690336,4,596.54974
-20.0,1,596.569856
25.820364,35,597.214045
22.260657,33,597.787611
18.922726,29,598.304373
-20.0,1,598.326574
-20.0,1,598.349492
4.269391,19,598.711099
36.715813,44,599.590399
-11.668289,7,599.722479
-6.036809,11,599.945103
17.634713,30,600.502066
4.952957,19,600.887938
44.711617,48,601.792422
22.004647,32,602.391342
-20.0,1,602.412819
1.558344,16,602.726985
131.063479,101,604.626025
-8.952611,9,604.79363
57.760447,59,605.906912
14.263878,27,606.374823
-20.0,1,606.395547
-5.249072,12,606.63189
-14.397974,5,606.729477
-20.0,1,606.752441
-20.0,1,606.776181
87.493263,78,608.275252
61.054313,60,609.353007
-11.340261,8,609.496676
-5.527954,13,609.73124
-1.687006,14,609.994506
-4.420939,12,610.212394
-14.628411,5,610.318838
-20.0,1,610.342567
-20.0,1,610.362918
133.849653,101,612.448268
-13.429801,6,612.567566
136.403182,101,614.560431
16.325959,27,615.087802
16.365938,28,615.60018
48.867273,52,616.551627
61.478534,60,617.614226
55.847438,56,618.673907
-17.41454,3,618.730268
-6.828777,11,618.939548
6.389081,21,619.304456
-20.0,1,619.324409
-4.991716,12,619.540935
-20.0,1,619.561195
-20.0,1,619.581736
-17.174483,3,619.637273
20.927326,30,620.181111
-20.0,1,620.201768
11.81403,25,620.671108
-20.0,1,620.690195
58.619559,62,621.77701
-9.514689,9,621.964021
22.410783,31,622.515292
-20.0,1,622.535768
-4.505301,12,622.764353
-20.0,1,622.783621
27.51999,35,623.439109
-0.980742,15,623.711259
-20.0,1,623.732094
26.070365,35,624.398539
-20.0,1,624.419754
43.182575,48,625.313212
13.11207,26,625.804326
0.424272,18,626.152083
-20.0,1,626.172399
13.582811,25,626.638766
-20.0,1,626.65899
-0.629447,16,626.968941
-11.296862,8,627.12698
10.718973,23,627.565052
15.554438,28,628.063101
10.462613,23,628.479299
-20.0,1,628.499989
-20.0,1,628.522671
-20.0,1,628.544904
-20.0,1,628.564765
-20.0,1,628.584875
-0.918645,15,628.879996
-3.393467,15,629.166266
-14.49149,5,629.266156
27.6736,38,630.029572
29.345402,38,630.730234
46.756712,49,631.613
6.12004,21,632.006086
52.521413,54,633.049225
14.279896,27,633.541833
-20.0,1,633.561878
-11.630071,7,633.696073
35.690651,44,634.537804
25.077312,34,635.19979
70.138152,65,636.371696
-8.871421,9,636.530985
82.709296,77,637.88574
11.253279,23,638.320966
-20.0,1,638.341604
1.830964,17,638.668154
23.751804,33,639.293078
53.926267,56,640.342861
15.089373,28,640.8692
24.048087,33,641.483559
-9.354253,9,641.649469
16.398905,28,642.186197
-20.0,1,642.206241
15.422504,28,642.70487
28.902248,38,643.385361
12.187665,24,643.856718
-20.0,1,643.879244
-20.0,1,643.901113
10.482608,23,644.369084
-20.0,1,644.389816
139.578334,101,646.291071
79.983977,74,647.619733
54.284538,54,648.636334
-17.369962,3,648.701131
-20.0,1,648.723361
-20.0,1,648.745272
-0.246998,17,649.082577
19.053138,30,649.693328
-2.219556,14,649.964918
-1.155861,15,650.249711
-5.71181,12,650.469214
-20.0,1,650.489592
-20.0,1,650.509516
34.017954,41,651.309961
-15.94644,4,651.38412
-20.0,1,651.406761
64.792161,62,652.564419
-12.058528,7,652.695265
140.343042,101,654.439384
45.956926,48,655.281467
54.657355,54,656.274726
34.98458,42,656.995363
-18.635543,2,657.034356
40.722818,46,657.889934
18.235043,32,658.48247
-6.957844,11,658.685666
-20.0,1,658.705963
50.453488,53,659.680507
-8.805202,9,659.856862
-20.0,1,659.880619
7.22801,21,660.276162
-2.245301,14,660.536107
-20.0,1,660.557052
-5.201797,12,660.781448
47.752291,54,661.804137
135.692261,101,663.651251
-20.0,1,663.675811
69.023082,68,664.90535
11.209846,24,665.345448
-20.0,1,665.367046
-2.006325,15,665.629742
-20.0,1,665.650189
71.595231,68,666.914747
-20.0,1,666.939543
46.409371,50,667.847781
-20.0,1,667.870238
1.718058,17,668.178386
-8.766953,9,668.337022
-20.0,1,668.355825
-13.150088,6,668.457164
-20.0,1,668.500822
-11.593857,7,668.621347
-4.771671,12,668.83322
25.830219,34,669.445737
7.83176,21,669.83533
-20.0,1,669.859074
-12.119323,7,669.99413
1.476389,18,670.319086
20.177599,30,670.887633
2.423545,18,671.271203
2.474882,17,671.604832
34.259698,41,673.120756
71.704415,68,674.924526
-20.0,1,674.945484
-20.0,1,674.965111
-11.378023,8,675.251113
-7.386502,12,675.478486
11.179569,24,675.95114
140.297426,101,677.806192
-10.476421,8,677.975301
14.231582,26,678.444188
45.438235,49,679.315018
-20.0,1,679.338012
-20.0,1,679.358312
16.721423,27,679.862511
-20.0,1,679.883271
79.613191,76,681.358859
-13.552038,6,681.464566
-7.524567,11,681.664764
113.181022,98,683.427958
8.587893,22,683.807765
23.212254,32,684.407702
30.261051,38,685.098258
-20.0,1,685.119002
-20.0,1,685.138263
82.037736,79,686.502454
1.455323,17,686.80838
4.441904,20,687.269493
49.282195,54,688.268263
-20.0,1,688.288225
17.731189,29,688.816598
21.209576,31,689.37714
-20.0,1,689.39706
-8.788073,9,689.567912
6.068438,20,689.963678
-20.0,1,689.984611
-20.0,1,690.00637
-13.16177,6,690.118387
-20.0,1,690.138244
-0.077102,16,690.431692
63.118376,62,691.587982
-20.0,1,691.608547
-10.426206,8,691.759139
-20.0,1,691.783634
-20.0,1,691.808296
7.810389,21,692.198809
-20.0,1,692.219261
-20.0,1,692.242606
-5.542265,11,692.44127
-5.869745,12,692.661918
-14.579583,5,692.759758
-20.0,1,692.779544
-20.0,1,692.799099
35.951768,43,693.616829
0.408036,16,693.934886
-7.60465,10,694.124579
4.4874,19,694.488267
-12.01166,7,694.626713
37.041728,44,695.460863
26.906389,37,696.200782
43.634948,48,697.072496
-20.0,1,697.0927
1.360774,16,697.393807
140.852834,101,699.298863
32.33259,39,700.021898
9.658198,24,700.489947
66.398805,66,701.699052
-2.065959,14,701.960844
-20.0,1,701.981825
14.046777,27,702.47899
23.155415,34,703.097834
82.51237,78,704.546804
-13.406896,6,704.660918
-16.117802,4,704.73461
30.029888,37,705.441381
75.683798,71,706.786484
-7.571146,10,706.998022
8.973736,23,707.43398
18.167284,30,707.997773
1.377329,17,708.293541
51.495415,54,709.284103
47.730588,51,710.243439
-12.626822,7,710.368488
-20.0,1,710.388679
-5.063957,13,710.638588
-0.535231,16,710.95861
21.41283,32,711.537291
-1.461588,15,711.815447
-20.0,1,711.843579
-20.0,1,711.868546
-20.0,1,711.889288
-15.951628,4,711.962411
137.875922,101,713.785606
7.434,21,714.194017
-20.0,1,714.214109
-20.0,1,714.234492
-20.0,1,714.254791
-3.453504,13,714.504542
-1.313215,15,714.788572
31.149643,39,715.525254
12.146382,25,716.078705
-10.599531,8,716.234214
30.388328,37,716.940548
-20.0,1,716.961294
-11.87243,7,717.095152
-15.806551,4,717.168232
6.93312,22,717.580082
31.55444,40,718.309776
19.614758,32,718.920077
-20.0,1,718.940099
-20.0,1,718.960973
-20.0,1,718.982569
0.404414,16,719.301962
-17.545027,3,719.361029
13.144833,25,719.827963
-14.614669,5,719.928254
-17.509494,3,719.986777
1.415724,17,720.324864
-20.0,1,720.345288
-20.0,1,720.365544
3.63652,19,720.715416
-13.550064,6,720.836339
9.217315,22,721.248841
13.565704,26,721.719256
10.63634,24,722.17273
-20.0,1,722.195719
89.28036,81,723.720364
13.085316,25,724.23808
-4.12672,13,724.488255
142.575097,101,726.346409
-20.0,1,726.370514
16.692801,30,726.98674
-5.052909,12,727.200989
-20.0,1,727.222835
-2.374125,14,727.487002
-10.971643,8,727.643976
30.770634,40,728.42316
-20.0,1,728.443497
23.126014,32,729.035172
-1.421603,15,729.305206
-20.0,1,729.327026
2.682572,17,729.659733
26.403069,35,730.308233
1.807206,18,730.649711
13.21408,26,731.204758
-20.0,1,731.225873
3.776438,19,731.582144
-20.0,1,731.601727
76.086637,72,733.267847
20.432484,33,733.877136
3.854941,18,734.231983
-20.0,1,734.252457
3.268379,20,734.633535
-20.0,1,734.654657
75.082128,72,736.053431
-20.0,1,736.077301
-14.90506,5,736.181153
-20.0,1,736.201956
-20.0,1,736.223161
22.144967,31,736.803407
-20.0,1,736.827869
-2.764846,14,737.099636
21.336405,34,737.729873
-20.0,1,737.750386
79.975382,74,739.085654
4.507051,21,739.462578
0.120186,17,739.772259
4.726922,19,740.148088
51.992391,53,741.115233
-20.0,1,741.137185
12.316808,26,741.591709
99.798841,87,743.150855
-20.0,1,743.170665
-20.0,1,743.191909
3.027182,18,743.551184
-20.0,1,743.572239
-20.0,1,743.593061
32.618698,41,744.330862
-20.0,1,744.350928
101.561001,90,745.93199
57.214064,58,747.059015
10.690358,24,747.4879
-20.0,1,747.508818
0.131152,16,747.818039
78.142527,75,749.1554
35.911511,41,749.919142
-8.934081,9,750.087231
48.359749,52,751.027421
75.197552,71,752.281865
6.996208,21,752.655795
13.41425,27,753.157187
-20.0,1,753.177807
38.517622,44,754.014611
62.946167,62,755.11495
9.176489,23,755.544708
-20.0,1,755.564936
137.507051,101,757.503288
-20.0,1,757.525828
2.598676,17,757.859158
58.18006,59,758.978893
61.914846,60,760.064361
68.738163,68,761.292591
0.268714,16,761.592827
139.975929,101,763.475128
18.351219,32,764.044656
7.201614,21,764.409937
7.760491,23,764.810573
-3.416348,14,765.0689
-20.0,1,765.088777
58.755706,57,766.16236
-20.0,1,766.184771
-20.0,1,766.206924
28.852828,40,767.016297
34.906717,41,767.794849
-20.0,1,767.819641
12.428321,25,768.317017
-20.0,1,768.337266
15.147959,27,768.828083
22.647509,34,769.452032
56.756933,58,770.539784
4.796463,21,770.93925
57.398336,59,771.964161
-20.0,1,771.983817
-7.925329,11,772.17491
21.036867,33,772.760638
-20.0,1,772.783667
-16.28552,4,772.926009
-20.0,1,772.946663
9.413265,25,773.435762
4.502582,19,773.782651
6.23104,20,774.292336
4.439818,19,774.634538
84.012948,78,776.059239
19.187357,31,776.625298
24.331206,34,777.248413
-11.91343,7,777.379437
74.10492,72,778.731456
19.166164,31,779.317284
11.868465,25,779.757808
-20.0,1,779.778341
102.140131,88,781.368653
1.663679,17,781.676209
-20.0,1,781.696004
14.227894,28,782.241429
37.759858,44,783.040887
-20.0,1,783.061016
47.067761,51,783.953283
1.183191,18,784.27568
3.962031,20,784.623713
35.674493,43,785.393489
-11.689807,8,785.545483
54.043645,55,786.65132
-20.0,1,786.671461
7.013319,22,787.089571
-8.506323,10,787.279084
12.046047,27,787.750452
70.556771,68,789.017105
-20.0,1,789.038549
-20.0,1,789.060453
-5.402585,12,789.291878
117.742805,99,791.174459
-20.0,1,791.195368
-20.0,1,791.217948
4.864069,19,791.576314
18.0237,30,792.342659
-20.0,1,792.367151
-5.86474,12,792.5982
29.163414,37,793.35059
-20.0,1,793.371603
-10.65319,9,793.536696
3.014878,18,793.89597
18.005564,29,794.459397
-6.329053,11,794.66866
-2.222069,15,794.969064
59.865223,61,796.071161
-20.0,1,796.092953
139.697335,101,797.91791
-8.809212,9,798.099883
7.483629,23,798.507337
-11.011646,8,798.656768
16.071457,28,799.180442
-20.0,1,799.20179
12.853092,27,799.709409
74.417165,72,801.198747
45.784603,51,802.136691
5.525645,21,802.520588
-8.811018,10,802.710902
-20.0,1,802.732
26.160778,34,803.35717
-7.952983,10,803.54104
-20.0,1,803.564597
4.618143,20,803.944584
-20.0,1,803.964685
-20.0,1,803.984786
-13.270935,6,804.110533
-20.0,1,804.132238
-4.828564,12,804.377206
23.638079,33,804.988119
-20.0,1,805.008959
-12.664367,7,805.137599
137.303597,101,807.264368
9.583575,25,807.731069
27.403144,39,808.444518
18.71968,31,809.030669
51.71047,52,810.002052
6.224743,21,810.388743
62.785802,62,811.536331
-0.262274,17,811.847572
59.002289,60,812.919961
-20.0,1,812.940721
96.811985,84,814.544931
46.350105,49,815.404222
-20.0,1,815.423764
-12.391805,7,815.54631
43.801033,48,816.452755
-13.493892,6,816.565656
66.920046,65,817.736747
-20.0,1,817.756889
-11.932322,7,817.896626
36.723721,43,818.73561
33.602027,39,819.493764
-20.0,1,819.512895
-20.0,1,819.531758
-20.0,1,819.551239
-20.0,1,819.572417
-4.27684,13,819.797382
134.324591,101,821.599867
140.869132,101,823.358997
-10.441421,9,823.516823
29.334151,39,824.243056
-20.0,1,824.263875
85.610031,78,825.710576
-3.014888,15,826.004411
-20.0,1,826.0248
16.517905,30,826.575793
-8.837713,10,826.755966
-20.0,1,826.775601
3.362957,19,827.142108
-20.0,1,827.162714
44.434351,48,828.088242
-20.0,1,828.108781
-20.0,1,828.130694
-8.311959,11,828.351067
-2.853809,14,828.619029
2.471607,19,828.99795
12.611146,26,829.487197
-10.223836,9,829.659833
8.434735,23,830.137273
80.787521,75,831.483726
-20.0,1,831.504579
-2.328113,14,831.756749
43.843892,48,832.651184
-20.0,1,832.672593
98.131338,88,834.301203
44.985011,49,835.214944
-15.049866,5,835.30509
30.173685,38,836.034468
-20.0,1,836.055247
-3.24434,14,836.319268
-3.465143,13,836.560874
23.590363,35,837.241791
32.907689,41,838.017814
-8.26166,10,838.197098
-12.355582,7,838.329307
101.542484,88,839.954207
17.605995,30,840.478795
34.8779,44,841.274115
-5.578199,12,841.493903
-20.0,1,841.513749
-2.799225,14,841.779913
-5.821163,13,842.036803
-12.071149,8,842.185642
91.130428,80,843.660911
43.90046,48,844.533597
-0.535974,15,844.794361
-20.0,1,844.815633
91.625326,89,846.435479
0.313415,16,846.737321
3.150311,18,847.089619
-8.111932,10,847.270414
-6.301042,12,847.504564
-12.798159,7,847.639582
-2.69824,14,847.905326
-1.491185,15,848.182987
12.284533,26,848.694247
-17.277205,3,848.754761
62.95525,61,849.922589
17.721991,29,850.444533
-20.0,1,850.464419
19.134907,29,850.985933
-20.0,1,851.020095
-20.0,1,851.049078
63.863265,63,852.563577
-20.0,1,852.58613
24.339598,35,853.295989
136.305396,101,855.201424
20.154718,30,855.739961
-20.0,1,855.759531
-18.77758,2,855.795463
20.407671,34,856.538108
-20.0,1,856.559567
-20.0,1,856.580591
-20.0,1,856.601045
-9.230231,10,856.793199
5.568511,21,857.209686
47.554233,50,858.150909
-20.0,1,858.17574
49.191711,52,859.206457
24.02849,35,859.90475
-16.088254,4,859.983273
-20.0,1,860.004913
-18.603765,2,860.047083
79.223778,76,861.505562
18.766904,30,862.102457
-14.573362,5,862.202106
37.737002,43,863.025427
96.392109,89,864.798802
44.323356,49,865.676608
48.768526,52,866.628266
-10.871841,8,866.774025
12.382509,25,867.27441
-9.768706,9,867.453211
76.169308,73,868.820717
-20.0,1,868.846053
-20.0,1,868.870834
21.53726,33,869.483666
-20.0,1,869.504538
25.550163,36,870.167193
-20.0,1,870.187849
3.920773,20,870.563721
-20.0,1,870.586372
-20.0,1,870.609865
-1.899227,15,870.901234
23.893339,35,871.549389
-20.0,1,871.570986
-15.821231,4,871.654218
2.196247,19,872.027131
30.273846,37,872.697239
57.430771,61,873.895801
-20.0,1,873.917602
-20.0,1,873.938619
-20.0,1,873.959988
3.979873,19,874.320928
-20.0,1,874.341307
141.998652,101,876.128543
10.718162,24,876.568506
-20.0,1,876.588172
-20.0,1,876.60763
-20.0,1,876.627174
-4.983254,13,876.865602
-14.96618,5,876.958898
-20.0,1,876.978574
-8.706075,10,877.157993
-9.387965,9,877.313088
15.931113,31,877.878212
-17.527299,3,877.93567
-20.0,1,877.955878
-20.0,1,877.975712
-7.450179,10,878.146599
-9.216507,9,878.311143
-10.654359,8,878.456255
-20.0,1,878.475609
-0.188659,17,878.781777
-13.483925,6,878.901733
136.043346,101,880.703847
31.217842,41,881.475824
-20.0,1,881.496106
82.767713,76,882.876208
-5.318227,13,883.107784
74.202793,69,884.374232
20.769683,34,885.028193
7.136082,23,885.451581
-20.0,1,885.471885
59.988134,62,886.594579
29.613132,42,887.370032
-9.575648,9,887.535515
-13.401219,6,887.645102
-20.0,1,887.66564
84.604989,80,889.20337
-0.190548,16,889.502762
-20.0,1,889.523008
9.662733,23,889.96225
-11.861723,7,890.092785
3.045502,18,890.426058
-20.0,1,890.446303
29.47986,39,891.148625
104.256372,88,892.780586
17.138732,29,893.309812
-20.0,1,893.330172
-13.429652,6,893.443042
-7.267682,11,893.640114
22.537092,33,894.244389
3.086422,19,894.606042
17.643699,32,895.214545
-20.0,1,895.234963
18.221413,30,895.789281
104.312274,101,897.618784
-20.0,1,897.638157
-2.576897,14,897.896058
-20.0,1,897.917389
66.580994,65,899.049103
39.022521,44,899.847672
-20.0,1,899.868898
-3.855018,13,900.102583
-9.838797,9,900.277856
33.168651,42,901.029196
-2.772313,14,901.286608
13.757155,26,901.748517
-13.539263,6,901.863813
11.608922,24,902.301768
0.536651,17,902.620614
5.953906,23,903.056397
-20.0,1,903.077075
-20.0,1,903.09678
20.534683,32,903.668739
17.585566,30,904.199751
-20.0,1,904.22025
82.344883,78,905.67778
140.163784,101,907.496628
-20.0,1,907.516287
-20.0,1,907.536157
-17.28915,3,907.590424
37.443381,44,908.418211
21.450415,33,909.029726
-20.0,1,909.057
33.265261,42,909.86402
5.41494,22,910.27221
-20.0,1,910.294251
-20.0,1,910.316043
-20.0,1,910.337026
-20.0,1,910.357516
-20.0,1,910.37839
-20.0,1,910.399549
22.326464,34,911.049426
-8.378253,10,911.289244
-5.817017,12,911.517908
-3.999381,13,911.756353
-20.0,1,911.778269
6.480778,22,912.426768
45.165347,50,913.554952
-16.034375,4,913.633293
18.475012,33,914.411218
-12.461078,7,914.549475
2.474377,22,914.952125
17.324615,29,915.525316
21.663976,32,916.123484
76.977325,84,917.605921
-20.0,1,917.630703
-7.907381,10,917.830252
38.371737,48,918.692989
6.189842,22,919.126457
108.711581,94,920.778111
31.907043,38,921.477063
-20.0,1,921.517325
-20.0,1,921.539243
79.270605,72,922.795234
76.470707,72,924.151317
29.716187,38,924.82999
139.085332,101,926.645103
57.531298,58,927.76672
-7.334442,10,927.961095
2.194613,19,928.292918
4.862875,19,928.629061
-20.0,1,928.649118
39.406406,45,929.500883
-20.0,1,929.522011
5.846236,22,929.95278
-20.0,1,929.973986
7.722707,23,930.413337
-9.339196,9,930.595546
78.572771,73,931.987119
2.730893,20,932.39763
57.828644,60,933.550508
7.088869,24,934.000584
1.977129,18,934.362877
-4.130992,13,934.635846
-8.184391,10,934.834264
-20.0,1,934.86232
-8.064147,10,935.057837
38.18997,45,935.869047
19.581933,31,936.415617
27.900756,37,937.080801
2.24824,17,937.390864
-20.0,1,937.413783
-20.0,1,937.434673
8.684275,24,937.896041
-20.0,1,937.915525
14.590981,27,938.405938
17.428629,31,939.008658
-20.0,1,939.031449
-20.0,1,939.053046
-20.0,1,939.076457
16.766461,29,939.60214
6.197659,22,940.022278
56.252603,59,941.10968
-0.120162,16,941.403119
-20.0,1,941.423358
9.474061,24,941.896824
103.35625,92,943.577702
-20.0,1,943.597681
8.14594,22,944.002899
-20.0,1,944.02274
-20.0,1,944.042862
134.893588,101,945.948995
59.716887,59,947.033132
-4.455902,13,947.253816
19.709384,31,947.800192
0.216323,16,948.111402
-13.392257,6,948.225627
70.007884,71,949.493911
55.986405,58,950.529132
30.803673,40,951.301923
-9.051889,9,951.481834
-11.160258,8,951.626209
1.880182,20,952.013931
10.695136,24,952.477807
-20.0,1,952.498628
-20.0,1,952.518938
-20.0,1,952.539376
-12.08394,7,952.666755
30.109927,38,953.385838
37.377947,46,954.24168
37.03881,42,955.047194
11.444517,25,955.521893
-20.0,1,955.542914
-10.474308,9,955.719335
-7.696667,11,955.943476
20.359645,30,956.48935
44.188834,53,957.429747
-20.0,1,957.450292
-20.0,1,957.470334
-20.0,1,957.490766
9.448292,23,957.924089
15.990789,28,958.400485
0.387818,16,958.691532
34.924268,49,959.591729
-20.0,1,959.612262
-20.0,1,959.631774
43.025483,54,960.625062
18.472523,29,961.190339
-3.171253,16,961.490276
-20.0,1,961.5135
-7.878317,10,961.694888
46.641992,50,962.610645
-1.508058,17,962.945113
-20.0,1,962.966211
-20.0,1,962.987313
88.888952,83,964.531937
-20.0,1,964.552193
0.551466,16,964.853224
31.342593,39,965.563584
-20.0,1,965.587768
6.587153,20,965.971986
59.575521,60,967.067801
99.480922,89,968.695045
-20.0,1,968.714847
9.104854,24,969.204372
-20.0,1,969.225074
140.023125,101,971.136043
21.615957,32,971.78339
-16.088303,4,971.989822
9.964402,24,972.548223
-8.962831,9,972.728372
-20.0,1,972.751661
33.864719,40,973.556686
24.449028,33,974.240532
9.143963,23,974.657717
6.12009,22,975.095649
12.400414,26,975.565433
3.601269,18,975.929194
-5.444325,13,976.18484
-20.0,1,976.205467
2.64984,19,976.555733
-20.0,1,976.575711
-20.0,1,976.595594
-4.788817,12,976.809399
4.013701,21,977.223407
-1.826437,15,977.521389
-8.03617,10,977.704245
-20.0,1,977.724219
2.738118,18,978.062164
101.82396,91,979.775608
43.713893,48,980.665529
63.158835,61,981.834777
70.29191,66,983.074063
12.551899,26,983.542799
36.849373,43,984.340556
-20.0,1,984.359878
0.955084,17,984.650839
-10.107248,8,984.790138
34.686917,43,985.542957
101.188277,92,987.25027
-10.309273,8,987.38885
6.876078,23,987.797582
132.838932,101,989.654366
5.599212,22,990.084632
-1.370196,16,990.395114
92.675434,82,991.960195
-7.649055,10,992.153904
-9.820694,10,992.371185
8.451381,25,992.838704
48.303367,50,993.728628
-12.962912,7,993.865053
-20.0,1,993.885342
-20.0,1,993.905298
44.111431,47,994.739694
-20.0,1,994.761871
-1.366238,15,995.079582
34.109459,42,995.990272
84.014765,79,997.487747
109.473966,95,999.228535
49.373631,54,1000.266599
9.746352,24,1000.70546
86.389716,81,1002.169131
-7.580265,10,1002.34548
-14.608041,5,1002.434729
-20.0,1,1002.454301
4.610398,20,1002.844275
21.410322,36,1003.530537
-20.0,1,1003.551009
-20.0,1,1003.571258
140.604656,101,1005.457259
90.597677,81,1006.967789
54.071187,55,1007.971658
-9.604139,9,1008.145345
-3.874626,13,1008.382133
-20.0,1,1008.403761
12.74383,26,1008.88424
-10.981673,8,1009.0297
25.325238,36,1009.682602
-20.0,1,1009.70322
-20.0,1,1009.723577
49.599723,53,1010.676174
30.617418,39,1011.38978
-20.0,1,1011.413207
-20.0,1,1011.435737
18.436262,32,1012.04302
